area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price,total_rooms,bath_bed_ratio,has_parking
7420,4,2,3,1,0,0,0,1,2,1,0,0,16.40327459319198,6,0.5,1
8960,4,4,4,1,0,0,0,1,3,0,0,0,16.32103649495501,8,1.0,1
9960,3,2,2,1,0,1,0,0,2,1,1,0,16.32103649495501,5,0.6666666666666666,1
7500,4,2,2,1,0,1,0,1,3,1,0,0,16.31817526267398,6,0.5,1
7420,4,1,2,1,1,1,0,1,2,0,0,0,16.25000072183826,5,0.25,1
7500,3,3,1,1,0,1,0,1,2,1,1,0,16.199675637950744,6,1.0,1
8580,4,3,4,1,0,0,0,1,2,1,1,0,16.13298426345207,7,0.75,1
16200,5,3,2,1,0,0,0,0,0,0,0,1,16.13298426345207,8,0.6,0
8100,4,1,2,1,1,1,0,1,2,1,0,0,16.105010411409665,5,0.25,1
5750,3,2,4,1,1,0,0,1,1,1,0,1,16.0978929436408,5,0.6666666666666666,1
13200,3,1,2,1,0,1,0,1,2,1,0,0,16.0978929436408,4,0.3333333333333333,1
6000,4,3,2,1,1,1,1,0,2,0,1,0,16.08567575970221,7,0.75,1
6550,4,2,2,1,0,0,0,1,1,1,1,0,16.04659964925325,6,0.5,1
3500,4,2,2,1,0,0,1,0,2,0,0,0,16.039052443617866,6,0.5,1
7800,3,2,2,1,0,0,0,0,0,1,1,0,16.039052443617866,5,0.6666666666666666,0
6000,4,1,2,1,0,1,0,0,2,0,1,0,16.02378497148708,5,0.25,1
6600,4,2,2,1,1,1,0,1,1,1,0,1,16.02378497148708,6,0.5,1
8500,3,2,4,1,0,0,0,1,2,0,0,0,16.008280784951115,5,0.6666666666666666,1
4600,3,2,2,1,1,0,0,1,2,0,0,0,16.00043760749009,5,0.6666666666666666,1
6420,3,2,2,1,0,0,0,1,1,1,1,0,15.99649282919907,5,0.6666666666666666,1
4320,3,1,2,1,0,1,1,0,2,0,1,0,15.984564258333798,4,0.3333333333333333,1
7155,3,2,1,1,1,1,0,1,2,0,0,1,15.976532086636533,5,0.6666666666666666,1
8050,3,1,1,1,1,1,0,1,1,0,0,0,15.972491677099528,4,0.3333333333333333,1
4560,3,2,2,1,1,1,0,1,1,0,0,0,15.972491677099528,5,0.6666666666666666,1
8800,3,2,2,1,0,0,0,1,2,0,0,0,15.964361551016278,5,0.6666666666666666,1
6540,4,2,2,1,1,1,0,1,2,1,0,0,15.960271565764753,6,0.5,1
6000,3,2,4,1,1,1,0,1,0,1,1,0,15.951214278652243,5,0.6666666666666666,0
8875,3,1,1,1,0,0,0,0,1,0,1,0,15.943742263813542,4,0.3333333333333333,1
7950,5,2,2,1,0,1,1,0,2,0,0,1,15.943742263813542,7,0.4,1
5500,4,2,2,1,0,1,0,1,1,1,1,0,15.943742263813542,6,0.5,1
7475,3,2,4,1,0,0,0,1,2,0,0,1,15.943742263813542,5,0.6666666666666666,1
7000,3,1,4,1,0,0,0,1,2,0,1,0,15.943742263813542,4,0.3333333333333333,1
4880,4,2,2,1,0,0,0,1,1,1,0,0,15.931163481606681,6,0.5,1
5960,3,3,2,1,1,1,0,0,1,0,0,1,15.918424455829252,6,1.0,1
6840,5,1,2,1,1,1,0,1,1,0,0,0,15.90984071213786,6,0.2,1
7000,3,2,4,1,0,0,0,1,2,0,0,0,15.90501876036436,5,0.6666666666666666,1
7482,3,2,3,1,0,0,1,0,1,1,0,0,15.900312705886206,5,0.6666666666666666,1
9000,4,2,4,1,0,0,0,1,2,0,0,0,15.892448969425992,6,0.5,1
6000,3,1,4,1,1,0,0,1,2,0,0,1,15.890253578862556,4,0.3333333333333333,1
6000,4,2,4,1,0,0,0,1,1,0,1,0,15.883638339743836,6,0.5,1
6550,3,1,2,1,0,1,0,1,0,1,0,0,15.879203742675971,4,0.3333333333333333,0
6360,3,2,4,1,0,0,0,1,0,1,0,0,15.87474939232659,5,0.6666666666666666,0
6480,3,2,4,1,0,0,0,1,2,0,0,1,15.856730886823913,5,0.6666666666666666,1
6000,4,2,4,1,0,0,0,0,2,0,1,0,15.856730886823913,6,0.5,1
6000,4,2,4,1,0,0,0,1,1,0,0,0,15.838381748155715,6,0.5,1
6000,3,2,3,1,0,0,0,1,0,0,1,0,15.838381748155715,5,0.6666666666666666,0
6000,3,2,4,1,0,0,0,1,1,0,0,0,15.833741368599213,5,0.6666666666666666,1
6600,3,1,4,1,0,0,0,1,3,1,0,0,15.829079355493402,4,0.3333333333333333,1
4300,3,2,2,1,0,1,0,0,1,0,0,1,15.824395506180975,5,0.6666666666666666,1
7440,3,2,1,1,1,1,0,1,0,1,1,0,15.819689615143563,5,0.6666666666666666,0
7440,3,2,4,1,0,0,0,0,1,1,0,1,15.819689615143563,5,0.6666666666666666,1
6325,3,1,4,1,0,0,0,1,1,0,0,1,15.819689615143563,4,0.3333333333333333,1
6000,4,2,4,1,1,0,0,1,1,0,0,0,15.81021087118902,6,0.5,1
5150,3,2,4,1,0,0,0,1,2,0,1,0,15.81021087118902,5,0.6666666666666666,1
6000,3,2,2,1,1,0,0,1,1,0,1,0,15.81021087118902,5,0.6666666666666666,1
6000,3,1,2,1,0,0,0,1,1,0,0,1,15.81021087118902,4,0.3333333333333333,1
11440,4,1,2,1,0,1,0,0,1,1,1,0,15.809258036433748,5,0.25,1
9000,4,2,4,1,1,0,0,1,1,1,0,0,15.79582213373692,6,0.5,1
7680,4,2,4,1,1,0,0,1,1,0,1,0,15.790979509261131,6,0.5,1
6000,3,2,4,1,1,0,0,1,1,0,0,0,15.790979509261131,5,0.6666666666666666,1
6000,3,2,2,1,1,0,0,0,1,0,1,0,15.781223334315767,5,0.6666666666666666,1
8880,2,1,1,1,0,0,0,1,1,0,1,0,15.771371037872756,3,0.5,1
6240,4,2,2,1,0,0,0,1,1,0,0,0,15.771371037872756,6,0.5,1
6360,4,2,3,1,0,0,0,1,2,1,0,0,15.766408248530626,6,0.5,1
11175,3,1,1,1,0,1,0,1,1,1,0,0,15.761420707019587,4,0.3333333333333333,1
8880,3,2,2,1,0,1,0,1,1,0,0,0,15.751370371166086,5,0.6666666666666666,1
13200,2,1,1,1,0,1,1,0,1,0,0,0,15.751370371166086,3,0.5,1
7700,3,2,1,1,0,0,0,0,2,0,0,1,15.74630706920954,5,0.6666666666666666,1
6000,3,1,1,1,0,0,0,1,1,0,0,0,15.741217999702068,4,0.3333333333333333,1
12090,4,2,2,1,0,0,0,0,2,1,0,0,15.730961499534878,6,0.5,1
4000,3,2,2,1,0,1,0,1,0,1,1,0,15.730961499534878,5,0.6666666666666666,0
6000,4,2,4,1,0,0,0,1,0,0,0,1,15.725793529376435,6,0.5,0
5020,3,1,4,1,0,0,0,1,0,1,0,1,15.720598712499333,4,0.3333333333333333,0
6600,2,2,4,1,0,1,0,0,0,1,0,0,15.71537676851818,4,1.0,0
4040,3,1,2,1,0,1,1,0,1,0,0,0,15.710127412632037,4,0.3333333333333333,1
4260,4,2,2,1,0,0,1,0,0,0,1,0,15.710127412632037,6,0.5,0
6420,3,2,3,1,0,0,0,1,0,1,0,0,15.710127412632037,5,0.6666666666666666,0
6500,3,2,3,1,0,0,0,1,0,1,0,0,15.710127412632037,5,0.6666666666666666,0
5700,3,1,1,1,1,1,0,1,2,1,0,0,15.710127412632037,4,0.3333333333333333,1
6000,3,2,3,1,1,0,0,1,0,0,0,0,15.710127412632037,5,0.6666666666666666,0
6000,3,1,2,1,0,0,1,0,1,1,1,0,15.70696452122353,4,0.3333333333333333,1
4000,3,2,2,1,0,1,0,1,1,0,1,0,15.704850355531192,5,0.6666666666666666,1
10500,3,2,1,1,0,1,0,1,1,1,0,0,15.704850355531192,5,0.6666666666666666,1
6000,3,2,4,1,0,0,0,1,0,0,1,0,15.6995453033015,5,0.6666666666666666,0
3760,3,1,2,1,0,0,1,0,2,0,1,0,15.688850014184752,4,0.3333333333333333,1
8250,3,2,3,1,0,0,0,1,0,0,0,0,15.688850014184752,5,0.6666666666666666,0
6670,3,1,3,1,0,1,0,0,0,1,0,1,15.688850014184752,4,0.3333333333333333,0
3960,3,1,1,1,0,1,0,0,2,0,1,0,15.683459165549875,4,0.3333333333333333,1
7410,3,1,1,1,1,1,0,1,2,1,0,1,15.683459165549875,4,0.3333333333333333,1
8580,5,3,2,1,0,0,0,0,2,0,0,0,15.678039098080536,8,0.6,1
5000,3,1,2,1,0,0,0,1,0,0,1,0,15.678039098080536,4,0.3333333333333333,0
6750,2,1,1,1,1,1,0,0,2,1,0,0,15.674772900293915,3,0.5,1
4800,3,2,4,1,1,0,0,1,0,0,0,0,15.672589493312971,5,0.6666666666666666,0
7200,3,2,1,1,0,1,0,1,3,0,1,0,15.65606019136176,5,0.6666666666666666,1
6000,4,2,4,1,0,0,0,0,1,0,1,0,15.65606019136176,6,0.5,1
4100,3,2,3,1,0,0,0,1,2,0,1,0,15.65606019136176,5,0.6666666666666666,1
9000,3,1,1,1,0,1,0,0,1,1,0,0,15.65606019136176,4,0.3333333333333333,1
6400,3,1,1,1,1,1,0,1,1,1,1,0,15.65606019136176,4,0.3333333333333333,1
6600,3,2,3,1,0,0,0,1,0,1,0,1,15.65494846250907,5,0.6666666666666666,0
6000,4,1,3,1,1,1,0,0,0,1,0,1,15.650489146312307,5,0.25,0
6600,3,2,1,1,0,1,0,1,0,1,0,1,15.644886890763637,5,0.6666666666666666,0
5500,3,1,3,1,0,0,0,0,1,1,0,1,15.644886890763637,4,0.3333333333333333,1
5500,3,2,4,1,1,0,0,1,1,0,1,0,15.63925307304538,5,0.6666666666666666,1
6350,3,2,3,1,1,0,0,1,0,0,0,0,15.63925307304538,5,0.6666666666666666,0
5500,3,2,1,1,1,1,0,0,2,1,0,0,15.63925307304538,5,0.6666666666666666,1
4500,3,1,4,1,0,0,0,1,0,0,0,1,15.633587335509702,4,0.3333333333333333,0
5450,4,2,1,1,0,1,0,1,0,1,1,0,15.633587335509702,6,0.5,0
6420,3,1,3,1,0,1,0,0,0,1,0,1,15.627889314395064,4,0.3333333333333333,0
3240,4,1,3,1,0,0,0,0,1,0,1,0,15.625028082114033,5,0.25,1
6615,4,2,2,1,1,0,1,0,1,0,1,0,15.622158639686079,6,0.5,1
6600,3,1,1,1,1,1,0,0,2,1,1,0,15.622158639686079,4,0.3333333333333333,1
8372,3,1,3,1,0,0,0,1,2,0,0,1,15.622158639686079,4,0.3333333333333333,1
4300,6,2,2,1,0,0,0,0,0,0,0,0,15.621008553302842,8,0.3333333333333333,0
9620,3,1,1,1,0,1,0,0,2,1,0,0,15.621008553302842,4,0.3333333333333333,1
6800,2,1,1,1,1,1,0,0,2,0,0,0,15.610597817285004,3,0.5,1
8000,3,1,1,1,1,1,0,1,2,1,1,0,15.610597817285004,4,0.3333333333333333,1
6900,3,2,1,1,1,1,0,0,0,1,0,1,15.610597817285004,5,0.6666666666666666,0
3700,4,1,2,1,1,0,0,1,0,0,0,0,15.598901777521812,5,0.25,0
6420,3,1,1,1,0,1,0,1,0,1,0,0,15.598901777521812,4,0.3333333333333333,0
7020,3,1,1,1,0,1,0,1,2,1,1,0,15.598901777521812,4,0.3333333333333333,1
6540,3,1,1,1,1,1,0,0,2,1,0,0,15.598901777521812,4,0.3333333333333333,1
7231,3,1,2,1,1,1,0,1,0,1,1,0,15.598901777521812,4,0.3333333333333333,0
6254,4,2,1,1,0,1,0,0,1,1,1,0,15.598901777521812,6,0.5,1
7320,4,2,2,1,0,0,0,0,0,0,0,0,15.598901777521812,6,0.5,0
6525,3,2,4,1,0,0,0,0,1,0,0,0,15.598901777521812,5,0.6666666666666666,1
15600,3,1,1,1,0,0,0,1,2,0,1,0,15.597724614348797,4,0.3333333333333333,1
7160,3,1,1,1,0,1,0,0,2,1,0,1,15.58706731987481,4,0.3333333333333333,1
6500,3,2,3,1,0,0,0,1,0,0,0,1,15.58706731987481,5,0.6666666666666666,0
5500,3,1,3,1,1,0,0,1,1,0,0,0,15.585876134504657,4,0.3333333333333333,1
11460,3,1,3,1,0,0,0,0,2,1,1,0,15.585876134504657,4,0.3333333333333333,1
4800,3,1,1,1,1,1,0,0,0,0,0,1,15.584683528519534,4,0.3333333333333333,0
5828,4,1,4,1,1,0,0,0,0,0,1,0,15.575091128828094,5,0.25,0
5200,3,1,3,1,0,0,0,1,0,0,1,0,15.575091128828094,4,0.3333333333333333,0
4800,3,1,3,1,0,0,0,1,0,0,0,1,15.575091128828094,4,0.3333333333333333,0
7000,3,1,1,1,0,1,0,0,2,1,1,0,15.573885583172745,4,0.3333333333333333,1
6000,3,2,4,1,0,0,0,1,0,0,0,1,15.569048814372131,5,0.6666666666666666,0
5400,4,2,2,1,0,0,0,1,2,0,0,1,15.56296976829575,6,0.5,1
4640,4,1,2,1,0,0,0,0,1,0,1,0,15.56296976829575,5,0.25,1
5000,3,1,3,1,0,0,0,1,0,0,1,0,15.56296976829575,4,0.3333333333333333,0
6360,3,1,1,1,1,1,0,1,2,1,0,0,15.56296976829575,4,0.3333333333333333,1
5800,3,2,4,1,0,0,0,1,0,0,0,1,15.56296976829575,5,0.6666666666666666,0
6660,4,2,2,1,1,1,0,0,1,1,1,0,15.547608483134262,6,0.5,1
10500,4,2,2,1,0,0,0,0,1,0,1,0,15.538277155705378,6,0.5,1
4800,5,2,3,0,0,1,1,0,0,0,0,1,15.538277155705378,7,0.4,0
4700,4,1,2,1,1,1,0,1,1,0,0,0,15.538277155705378,5,0.25,1
5000,3,1,4,1,0,0,0,0,0,0,0,0,15.538277155705378,4,0.3333333333333333,0
10500,2,1,1,1,0,0,0,0,1,0,1,0,15.538277155705378,3,0.5,1
5500,3,2,2,1,0,0,0,0,1,0,1,0,15.538277155705378,5,0.6666666666666666,1
6360,3,1,3,1,0,0,0,0,0,1,1,0,15.538277155705378,4,0.3333333333333333,0
6600,4,2,1,1,0,1,0,0,0,1,1,0,15.538277155705378,6,0.5,0
5136,3,1,2,1,1,1,0,1,0,1,0,1,15.538277155705378,4,0.3333333333333333,0
4400,4,1,2,1,0,0,0,1,2,1,1,0,15.532007542691781,5,0.25,1
5400,5,1,2,1,1,1,0,1,0,1,0,0,15.532007542691781,6,0.2,0
3300,3,3,2,1,0,1,0,0,0,0,1,0,15.525698373498518,6,1.0,0
3650,3,2,2,1,0,0,0,0,2,0,1,0,15.525698373498518,5,0.6666666666666666,1
6100,3,2,1,1,0,1,0,0,2,1,0,0,15.525698373498518,5,0.6666666666666666,1
6900,3,1,1,1,1,1,0,0,0,1,1,0,15.524431748883325,4,0.3333333333333333,0
2817,4,2,2,0,1,1,0,0,1,0,0,0,15.51934914581986,6,0.5,1
7980,3,1,1,1,0,0,0,0,2,0,1,0,15.51934914581986,4,0.3333333333333333,1
3150,3,2,1,1,1,1,0,1,0,0,0,0,15.512959347721088,5,0.6666666666666666,0
6210,4,1,4,1,1,0,0,1,0,0,0,0,15.512959347721088,5,0.25,0
6100,3,1,3,1,1,0,0,1,0,1,1,0,15.512959347721088,4,0.3333333333333333,0
6600,4,2,2,1,1,1,0,0,0,1,1,0,15.512959347721088,6,0.5,0
6825,3,1,1,1,1,1,0,1,0,1,1,0,15.506528457390797,4,0.3333333333333333,0
6710,3,2,2,1,1,1,0,0,1,1,0,0,15.50005594288518,5,0.6666666666666666,1
6450,3,2,1,1,1,1,1,0,0,0,0,1,15.498756397543094,5,0.6666666666666666,0
7800,3,1,1,1,0,1,0,1,2,1,0,1,15.486983861317826,4,0.3333333333333333,1
4600,2,2,1,1,0,0,0,1,2,0,1,0,15.480383177286475,4,1.0,1
4260,4,1,2,1,0,1,0,1,0,0,0,0,15.473738634567807,5,0.25,0
6540,4,2,2,0,0,0,0,1,0,0,1,0,15.473738634567807,6,0.5,0
5500,3,2,1,1,0,1,0,0,0,0,1,0,15.473738634567807,5,0.6666666666666666,0
10269,3,1,1,1,0,0,0,0,1,1,1,0,15.473738634567807,4,0.3333333333333333,1
8400,3,1,2,1,1,1,0,1,2,1,0,1,15.473738634567807,4,0.3333333333333333,1
5300,4,2,1,1,0,0,0,1,0,1,0,1,15.473738634567807,6,0.5,0
3800,3,1,2,1,1,1,0,0,1,1,0,1,15.473738634567807,4,0.3333333333333333,1
9800,4,2,2,1,1,0,0,0,2,0,1,0,15.473738634567807,6,0.5,1
8520,3,1,1,1,0,0,0,1,2,0,0,0,15.473738634567807,4,0.3333333333333333,1
6050,3,1,1,1,0,1,0,0,0,1,1,0,15.47240441155467,4,0.3333333333333333,0
7085,3,1,1,1,1,1,0,0,2,1,1,0,15.469730613170269,4,0.3333333333333333,1
3180,3,2,2,1,0,0,0,0,2,0,1,0,15.46704964641701,5,0.6666666666666666,1
4500,4,2,1,0,0,1,0,1,2,0,1,0,15.46704964641701,6,0.5,1
7200,3,1,2,1,1,1,0,0,1,1,0,0,15.46704964641701,4,0.3333333333333333,1
3410,3,1,2,0,0,0,0,1,0,0,1,0,15.453535927250288,4,0.3333333333333333,0
7980,3,1,1,1,0,0,0,0,1,1,1,0,15.453535927250288,4,0.3333333333333333,1
3000,3,2,2,1,1,1,0,0,0,0,0,0,15.446709962179888,5,0.6666666666666666,0
3000,3,1,2,1,0,1,0,0,0,0,0,1,15.446709962179888,4,0.3333333333333333,0
11410,2,1,2,1,0,0,0,0,0,1,0,0,15.446709962179888,3,0.5,0
6100,3,1,1,1,0,1,0,1,0,1,1,0,15.446709962179888,4,0.3333333333333333,0
5720,2,1,2,1,0,0,0,1,0,1,0,1,15.439837082892126,3,0.5,0
3540,2,1,1,0,1,1,0,0,0,0,1,0,15.432916640047551,3,0.5,0
7600,4,1,2,1,0,0,0,1,2,0,0,0,15.432916640047551,5,0.25,1
10700,3,1,2,1,1,1,0,0,0,0,1,0,15.432916640047551,4,0.3333333333333333,0
6600,3,1,1,1,1,1,0,0,0,1,0,0,15.432916640047551,4,0.3333333333333333,0
4800,2,1,1,1,1,1,0,0,0,0,1,0,15.431526785758496,3,0.5,0
8150,3,2,1,1,1,1,0,0,0,0,1,0,15.425947970731459,5,0.6666666666666666,0
4410,4,3,2,1,0,1,0,0,2,0,1,0,15.418930398072812,7,0.75,1
7686,3,1,1,1,1,1,1,0,0,0,1,0,15.418930398072812,4,0.3333333333333333,0
2800,3,2,2,0,0,1,0,1,1,0,1,0,15.41610952173117,5,0.6666666666666666,1
5948,3,1,2,1,0,0,0,1,0,0,1,0,15.411863230849718,4,0.3333333333333333,0
4200,3,1,2,1,0,0,0,0,1,0,0,0,15.40617331507204,4,0.3333333333333333,1
4520,3,1,2,1,0,1,0,1,0,0,1,0,15.404745763080856,4,0.3333333333333333,0
4095,3,1,2,0,1,1,0,1,0,0,1,0,15.404745763080856,4,0.3333333333333333,0
4120,2,1,1,1,0,1,0,0,1,0,1,0,15.404745763080856,3,0.5,1
5400,4,1,2,1,0,0,0,0,0,0,1,0,15.404745763080856,5,0.25,0
4770,3,1,1,1,1,1,0,0,0,0,1,0,15.404745763080856,4,0.3333333333333333,0
6300,3,1,1,1,0,0,0,1,2,0,1,0,15.404745763080856,4,0.3333333333333333,1
5800,2,1,1,1,1,1,0,1,0,0,1,0,15.404745763080856,3,0.5,0
3000,3,1,2,1,0,1,0,1,0,0,1,0,15.404745763080856,4,0.3333333333333333,0
2970,3,1,3,1,0,0,0,0,0,0,1,0,15.404745763080856,4,0.3333333333333333,0
6720,3,1,1,1,0,0,0,0,0,0,0,1,15.404745763080856,4,0.3333333333333333,0
4646,3,1,2,1,1,1,0,0,2,0,1,0,15.404745763080856,4,0.3333333333333333,1
12900,3,1,1,1,0,0,0,0,2,0,0,0,15.404745763080856,4,0.3333333333333333,1
3420,4,2,2,1,0,1,0,1,2,0,1,0,15.40331617027126,6,0.5,1
4995,4,2,1,1,0,1,0,0,0,0,1,0,15.40331617027126,6,0.5,0
4350,2,1,1,1,0,1,0,0,0,0,0,1,15.397577273602243,3,0.5,0
4160,3,1,3,1,0,0,0,0,0,0,0,1,15.390357025628756,4,0.3333333333333333,0
6040,3,1,1,1,0,0,0,0,2,1,1,0,15.390357025628756,4,0.3333333333333333,1
6862,3,1,2,1,0,0,0,1,2,1,0,0,15.390357025628756,4,0.3333333333333333,1
4815,2,1,1,1,0,0,0,1,0,1,1,0,15.390357025628756,3,0.5,0
7000,3,1,2,1,0,1,0,0,0,0,0,1,15.383084266299676,4,0.3333333333333333,0
8100,4,1,4,1,0,1,0,1,2,0,1,0,15.383084266299676,5,0.25,1
3420,4,2,2,1,0,0,0,0,0,0,1,0,15.377227734186963,6,0.5,0
9166,2,1,1,1,0,1,0,1,2,0,1,0,15.375758226207603,3,0.5,1
6321,3,1,2,1,0,1,0,1,1,0,0,0,15.375758226207603,4,0.3333333333333333,1
10240,2,1,1,1,0,0,0,1,2,1,0,1,15.375758226207603,3,0.5,1
6440,2,1,1,1,0,0,0,1,3,0,1,0,15.374286555596147,3,0.5,1
5170,3,1,4,1,0,0,0,1,0,0,1,0,15.360943140422462,4,0.3333333333333333,0
6000,2,1,1,1,0,1,0,1,1,0,0,0,15.360943140422462,3,0.5,1
3630,3,1,2,1,0,0,0,0,2,0,1,0,15.360943140422462,4,0.3333333333333333,1
9667,4,2,2,1,1,1,0,0,1,0,1,0,15.360943140422462,6,0.5,1
5400,2,1,2,1,0,0,0,0,0,1,1,0,15.360943140422462,3,0.5,0
4320,3,1,1,1,0,0,0,0,0,1,1,0,15.360943140422462,4,0.3333333333333333,0
3745,3,1,2,1,0,1,0,0,0,0,0,0,15.353452468693305,4,0.3333333333333333,0
4160,3,1,1,1,1,1,0,1,0,0,0,1,15.345905263057922,4,0.3333333333333333,0
3880,3,2,2,1,0,1,0,0,2,0,1,0,15.345905263057922,5,0.6666666666666666,1
5680,3,1,2,1,1,0,0,1,1,0,1,0,15.345905263057922,4,0.3333333333333333,1
2870,2,1,2,1,1,1,0,0,0,1,1,0,15.345905263057922,3,0.5,0
5010,3,1,2,1,0,1,0,0,0,0,1,0,15.345905263057922,4,0.3333333333333333,0
4510,4,2,2,1,0,1,0,0,0,0,1,0,15.344388962539957,6,0.5,0
4000,3,1,2,1,0,0,0,0,1,0,0,0,15.338300663672703,4,0.3333333333333333,1
3840,3,1,2,1,0,0,0,0,1,1,1,0,15.338300663672703,4,0.3333333333333333,1
3760,3,1,1,1,0,0,0,0,2,0,1,0,15.330637790927133,4,0.3333333333333333,1
3640,3,1,2,1,0,0,0,1,0,0,0,0,15.330637790927133,4,0.3333333333333333,0
2550,3,1,2,1,0,1,0,0,0,0,0,0,15.330637790927133,4,0.3333333333333333,0
5320,3,1,2,1,1,1,0,0,0,1,1,0,15.330637790927133,4,0.3333333333333333,0
5360,3,1,2,1,0,0,0,0,2,1,0,1,15.330637790927133,4,0.3333333333333333,1
3520,3,1,1,1,0,0,0,0,0,1,1,0,15.330637790927133,4,0.3333333333333333,0
8400,4,1,4,1,0,0,0,0,3,0,0,1,15.330637790927133,5,0.25,1
4100,2,2,1,1,1,1,0,0,0,0,1,0,15.32909814474154,4,1.0,0
4990,4,2,2,1,1,1,0,0,0,1,0,0,15.32909814474154,6,0.5,0
3510,3,1,3,1,0,0,0,0,0,0,1,0,15.322915744833223,4,0.3333333333333333,0
3450,3,1,2,1,0,1,0,0,1,0,1,0,15.322915744833223,4,0.3333333333333333,1
9860,3,1,1,1,0,0,0,0,0,0,1,0,15.322915744833223,4,0.3333333333333333,0
3520,2,1,2,1,0,0,0,0,0,1,0,0,15.322915744833223,3,0.5,0
4510,4,1,2,1,0,0,0,1,2,0,1,0,15.315133604391168,5,0.25,1
5885,2,1,1,1,0,0,0,1,1,0,0,1,15.315133604391168,3,0.5,1
4000,3,1,2,1,0,0,0,0,2,0,0,0,15.315133604391168,4,0.3333333333333333,1
8250,3,1,1,1,0,0,0,0,0,0,0,0,15.315133604391168,4,0.3333333333333333,0
4040,3,1,2,1,0,0,0,0,1,0,1,0,15.315133604391168,4,0.3333333333333333,1
6360,2,1,1,1,0,1,0,1,1,0,0,0,15.313569882414985,3,0.5,1
3162,3,1,2,1,0,0,0,1,1,0,0,0,15.313569882414985,4,0.3333333333333333,1
3510,3,1,2,1,0,0,0,0,0,0,1,0,15.313569882414985,4,0.3333333333333333,0
3750,2,1,1,1,1,1,0,0,0,0,1,0,15.307290426930143,3,0.5,0
3968,3,1,2,0,0,0,0,0,0,0,1,0,15.299385247423029,4,0.3333333333333333,0
4900,2,1,2,1,0,1,0,0,0,0,1,0,15.299385247423029,3,0.5,0
